Started Training CB and IGL on Sat Aug 14 20:28:51 UTC 2021.
Saving to ../notes/result_2021-08-14_20:28:51.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_453_5.vw.gz 		57	0.789474	0.771930	0.807018	
ds_454_3.vw.gz 		1340	0.949254	0.944776	0.122388	
ds_4552_102.vw.gz 		5665	0.998588	0.998411	0.997176	
ds_455_3.vw.gz 		406	0.810345	0.674877	0.399015	
ds_457_4.vw.gz 		27	0.888889	0.666667	0.703704	
ds_458_4.vw.gz 		841	0.936980	0.775268	0.500595	
ds_460_3.vw.gz 		379	0.791557	0.770449	0.548813	
ds_462_3.vw.gz 		23	0.782609	0.695652	0.478261	
ds_468_6.vw.gz 		72	0.819444	0.833333	0.861111	
ds_469_6.vw.gz 		797	0.803011	0.831870	0.823087	
ds_46_3.vw.gz 		3190	0.853918	0.864577	0.416614	
ds_473_6.vw.gz 		2796	0.959943	0.964950	0.724964	
ds_474_5.vw.gz 		364	0.906593	0.903846	0.777473	
ds_475_4.vw.gz 		400	0.825000	0.737500	0.787500	
ds_477_5.vw.gz 		67	0.985075	0.835821	0.880597	
ds_480_4.vw.gz 		61	0.918033	0.868852	0.426230	
ds_488_4.vw.gz 		1161	0.957795	0.929371	0.466839	
ds_48_3.vw.gz 		151	0.682119	0.682119	0.655629	
ds_54_4.vw.gz 		846	0.794326	0.763593	0.780142	
ds_554_10.vw.gz 		70000	0.988671	0.987829	0.318557	
ds_57_4.vw.gz 		3772	0.980912	0.983298	0.112407	
ds_5_16.vw.gz 		452	0.951327	0.991150	0.581858	
ds_60_3.vw.gz 		5000	0.948200	0.943400	0.239000	
ds_61_3.vw.gz 		150	0.746667	0.693333	0.700000	
ds_62_7.vw.gz 		101	0.851485	0.693069	0.811881	
ds_679_4.vw.gz 		1024	0.838867	0.785156	0.801758	
ds_685_5.vw.gz 		130	0.807692	0.776923	0.800000	
ds_694_9.vw.gz 		310	0.893548	0.896774	0.890323	
ds_6_26.vw.gz 		20000	0.962900	0.961200	0.960850	
ds_70_6.vw.gz 		1000000	0.985438	0.987180	0.270475	
ds_71_6.vw.gz 		1000000	0.987257	0.985611	0.272071	
ds_74_26.vw.gz 		1000000	0.973198	0.970009	0.955445	
ds_75_7.vw.gz 		1000000	0.971388	0.966258	0.662949	
ds_76_4.vw.gz 		1000000	0.974951	0.975045	0.350239	
ds_78_10.vw.gz 		1000000	0.985725	0.985168	0.722505	
ds_7_24.vw.gz 		226	0.991150	0.840708	0.893805	
ds_952_6.vw.gz 		214	0.920561	0.771028	0.869159	
ds_9_7.vw.gz 		205	0.839024	0.785366	0.887805	
