Started Training CB and IGL on Wed Aug 18 02:05:45 UTC 2021.
Saving to ../notes/result_2021-08-18_02:05:45.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_41583_3.vw.gz 		150	0.540000	0.686667	0.686667	
ds_41671_5.vw.gz 		20000	0.549300	0.548550	0.549300	
ds_41919_4.vw.gz 		527	0.685009	0.743833	0.757116	
ds_41939_5.vw.gz 		218	0.665138	0.834862	0.844037	
ds_41950_3.vw.gz 		150	0.546667	0.673333	0.673333	
ds_41960_144.vw.gz 		523590	0.864826	0.862673	0.869213	
ds_41972_8.vw.gz 		9144	0.583990	0.583115	0.562773	
ds_41981_15.vw.gz 		296	0.702703	0.976351	0.979730	
ds_41982_10.vw.gz 		70000	0.530471	0.537071	0.541900	
ds_41983_100.vw.gz 		60000	0.988400	0.989317	0.988833	
ds_41986_43.vw.gz 		51839	0.920022	0.934914	0.922279	
ds_41988_43.vw.gz 		51839	0.916993	0.950501	0.977044	
ds_41989_43.vw.gz 		51839	0.922877	0.917707	0.918247	
ds_41990_43.vw.gz 		51839	0.952295	0.990490	0.974594	
ds_41991_49.vw.gz 		270912	0.928774	0.933883	0.947954	
ds_41997_3.vw.gz 		150	0.593333	0.726667	0.773333	
ds_41_7.vw.gz 		214	0.700935	0.925234	0.925234	
ds_42003_3.vw.gz 		150	0.620000	0.606667	0.606667	
ds_42011_3.vw.gz 		150	0.673333	0.720000	0.766667	
ds_42016_3.vw.gz 		150	0.646667	0.773333	0.773333	
ds_42021_3.vw.gz 		150	0.646667	0.760000	0.760000	
ds_42026_3.vw.gz 		150	0.700000	0.780000	0.780000	
ds_42031_3.vw.gz 		150	0.673333	0.680000	0.680000	
ds_42036_3.vw.gz 		150	0.620000	0.580000	0.580000	
ds_42041_3.vw.gz 		150	0.460000	0.793333	0.793333	
ds_42046_3.vw.gz 		150	0.660000	0.700000	0.700000	
ds_42051_3.vw.gz 		150	0.586667	0.693333	0.693333	
ds_42056_3.vw.gz 		150	0.686667	0.773333	0.773333	
ds_42066_3.vw.gz 		150	0.540000	0.766667	0.746667	
ds_42071_3.vw.gz 		150	0.673333	0.686667	0.686667	
ds_42098_3.vw.gz 		150	0.586667	0.653333	0.653333	
ds_42140_10.vw.gz 		9927	0.851919	0.880226	0.884859	
ds_42141_10.vw.gz 		49644	0.872190	0.863528	0.866651	
ds_42167_2.vw.gz 		202	0.232673	0.232673	0.232673	
ds_42169_5.vw.gz 		224	0.508929	0.642857	0.642857	
